age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,academic_success
18,4,1,1,2,0,5,4,5,1,1,4,2,15.0,12.0,1
15,1,2,3,3,0,3,1,4,2,3,4,2,16.0,17.0,1
15,2,2,2,4,0,3,2,4,1,3,3,1,14.0,11.0,1
17,4,2,4,2,2,3,4,4,2,2,4,0,15.0,13.0,1
17,3,2,1,2,0,5,4,2,1,1,5,0,11.0,11.0,0
21,3,4,2,2,0,2,5,3,1,1,1,10,13.0,12.0,0
16,3,2,1,3,0,4,4,4,1,3,4,28,11.0,6.0,0
18,2,1,1,2,1,5,5,2,2,1,5,5,8.0,7.0,0
18,1,1,1,1,0,5,4,3,1,1,3,4,9.0,9.0,0
21,4,1,2,4,0,4,3,3,1,1,3,1,15.0,11.0,1
20,4,1,4,2,1,2,2,3,5,2,4,0,12.0,11.0,0
20,4,1,2,2,1,5,4,5,2,2,5,6,9.0,8.0,0
21,4,1,1,1,1,4,4,2,1,3,5,1,9.0,9.0,0
20,2,1,1,2,2,3,1,3,2,1,4,1,8.0,6.0,0
17,2,1,2,2,0,3,3,2,1,1,5,1,14.0,13.0,1
18,3,4,1,2,1,5,5,5,1,3,3,3,13.0,11.0,1
21,3,1,1,1,0,4,3,2,1,3,4,7,11.0,12.0,0
18,3,2,1,2,1,5,3,3,3,1,4,7,13.0,15.0,1
15,3,2,1,4,0,5,3,4,3,2,2,2,15.0,15.0,1
17,4,4,1,1,1,4,3,4,1,1,5,7,11.0,10.0,0
19,2,1,1,4,0,4,3,3,1,4,4,0,14.0,15.0,1
17,2,2,1,2,0,4,3,3,1,1,3,0,13.0,12.0,1
21,1,4,1,3,0,4,2,3,5,4,5,3,11.0,8.0,0
19,2,4,4,3,3,4,4,3,5,3,1,2,10.0,8.0,0
15,0,3,1,2,2,5,3,2,1,2,3,7,10.0,10.0,1
21,2,1,1,2,0,4,4,3,2,1,1,22,14.0,13.0,1
16,2,1,2,3,0,5,4,3,2,2,5,4,15.0,11.0,1
18,1,3,1,2,0,4,3,3,1,2,5,2,9.0,6.0,0
15,2,4,3,2,0,4,4,4,1,1,3,1,14.0,11.0,0
18,0,2,2,2,1,4,3,5,1,3,5,1,12.0,11.0,1
20,0,2,1,3,0,4,4,4,1,5,3,6,15.0,14.0,1
16,4,1,1,3,0,4,3,2,1,2,5,1,16.0,14.0,1
16,2,3,2,3,1,3,4,2,1,3,4,3,10.0,7.0,0
15,1,1,3,2,0,4,4,5,3,1,3,3,10.0,11.0,0
16,2,1,1,3,0,3,3,3,1,2,5,0,14.0,10.0,1
19,3,2,1,1,0,4,2,2,1,1,3,9,7.0,8.0,0
16,1,2,1,2,0,4,4,3,1,2,2,11,13.0,12.0,0
18,3,1,4,1,0,4,4,4,1,4,4,4,11.0,11.0,0
18,1,1,1,2,0,5,3,4,1,3,5,12,13.0,10.0,0
21,1,2,3,2,0,4,4,3,1,1,3,8,15.0,13.0,1
18,2,1,1,2,1,4,3,1,1,1,1,13,11.0,9.0,0
21,2,2,1,2,0,4,4,5,1,2,3,7,14.0,11.0,0
18,3,1,1,2,1,4,2,3,1,2,4,4,13.0,11.0,1
19,3,2,1,2,0,3,4,4,1,3,2,2,11.0,12.0,1
21,4,2,1,1,0,4,3,4,2,3,5,2,13.0,9.0,0
17,2,1,1,2,0,4,3,4,1,2,5,18,8.0,6.0,0
20,2,1,1,1,0,4,2,3,1,1,4,13,12.0,9.0,1
15,3,1,2,1,0,2,2,3,2,1,3,1,15.0,13.0,1
18,1,1,1,2,3,3,3,3,1,1,3,0,6.0,5.0,0
16,2,4,1,2,0,4,3,5,1,1,2,1,8.0,8.0,0
18,1,1,3,2,0,5,4,5,2,2,5,11,16.0,14.0,1
16,0,3,2,2,1,4,1,2,1,3,3,8,12.0,11.0,0
20,4,1,3,2,0,4,3,2,1,3,3,11,18.0,16.0,1
20,4,3,4,3,0,3,3,5,2,1,5,4,13.0,11.0,1
20,3,3,1,2,0,4,1,4,2,1,3,5,14.0,13.0,1
16,2,2,1,2,0,4,2,5,4,1,4,15,12.0,10.0,0
18,1,2,2,1,0,3,3,2,1,1,1,0,9.0,10.0,1
20,1,2,2,2,0,4,3,3,1,3,5,0,13.0,15.0,1
19,1,1,1,2,1,1,3,4,1,1,5,4,7.0,7.0,0
21,2,4,2,2,0,1,3,4,1,2,4,24,11.0,10.0,0
16,3,3,1,2,0,3,3,3,1,1,5,2,16.0,15.0,1
16,3,4,1,2,1,2,1,1,1,4,2,3,10.0,7.0,0
18,1,1,1,2,0,3,3,3,3,2,4,9,15.0,13.0,1
16,4,3,1,3,0,4,5,3,1,1,4,2,10.0,7.0,0
16,3,4,1,3,0,5,3,3,1,2,4,2,15.0,14.0,1
20,2,1,1,2,2,4,4,5,1,3,3,5,11.0,8.0,0
18,3,1,2,4,0,4,3,3,1,5,3,1,14.0,11.0,1
20,2,3,1,1,0,4,4,4,1,1,2,0,15.0,10.0,1
21,1,2,1,1,0,5,4,2,1,4,3,8,10.0,7.0,1
21,2,3,2,1,0,4,3,4,1,4,2,3,13.0,12.0,1
20,3,1,3,2,1,3,5,5,1,4,5,0,13.0,10.0,1
21,0,3,2,3,3,4,2,2,3,2,2,6,5.0,6.0,0
18,1,1,2,1,0,3,1,1,3,2,1,3,12.0,9.0,0
15,0,1,2,4,0,4,4,3,1,2,4,4,11.0,10.0,1
20,0,1,1,1,0,4,4,2,1,3,4,2,10.0,7.0,0
19,4,3,1,4,1,5,2,4,2,2,5,26,15.0,13.0,1
19,3,3,1,2,0,4,3,5,3,3,4,8,10.0,6.0,0
16,2,2,1,1,0,4,1,3,1,2,3,5,11.0,9.0,0
21,1,2,1,2,0,5,3,3,2,3,5,2,9.0,6.0,0
19,2,4,2,2,0,3,4,3,1,3,4,17,13.0,12.0,1
16,2,2,1,2,0,4,3,4,2,1,1,2,16.0,14.0,1
15,1,3,1,2,0,4,3,1,5,3,4,1,11.0,8.0,0
18,2,2,1,3,0,4,3,3,1,2,5,4,12.0,10.0,0
18,2,2,2,2,1,4,1,4,3,3,3,3,9.0,6.0,0
18,3,2,1,2,0,5,3,4,1,2,3,2,13.0,12.0,1
19,3,1,2,2,0,4,4,2,4,1,2,1,11.0,11.0,1
15,0,3,1,2,0,4,5,4,1,4,2,1,13.0,9.0,0
19,2,2,1,2,0,4,4,2,2,1,3,19,11.0,11.0,1
21,3,1,1,2,0,5,1,2,1,3,4,2,13.0,10.0,1
19,2,4,2,1,0,5,4,5,1,2,1,0,11.0,9.0,0
15,4,2,1,1,0,5,4,4,1,2,5,3,9.0,8.0,0
15,3,2,2,2,0,1,4,1,4,1,5,13,11.0,12.0,1
21,1,4,1,1,0,4,3,2,2,2,4,4,11.0,8.0,0
15,1,2,1,2,0,2,3,2,2,1,5,13,14.0,13.0,1
15,3,1,2,2,1,4,3,3,3,1,1,7,12.0,8.0,0
18,0,4,2,1,0,2,2,2,1,1,4,6,8.0,5.0,0
21,2,2,2,2,1,4,3,2,1,1,4,8,13.0,11.0,1
17,4,1,2,2,0,4,3,3,1,5,5,6,12.0,10.0,0
17,2,1,2,4,0,3,3,4,1,5,5,2,16.0,9.0,1
15,2,3,2,2,0,4,4,4,1,1,3,0,13.0,13.0,1
17,3,2,2,3,0,4,3,4,1,3,5,8,13.0,8.0,0
17,2,2,2,2,1,4,2,2,1,1,2,4,12.0,10.0,1
15,2,4,2,1,0,3,5,5,1,3,5,7,16.0,16.0,1
17,4,3,1,2,1,4,5,4,1,3,5,7,4.0,7.0,0
19,2,1,2,4,0,5,4,4,1,4,2,11,17.0,14.0,1
16,4,1,1,2,0,3,5,4,4,2,5,5,16.0,11.0,0
21,4,1,2,3,0,3,3,5,2,3,1,20,15.0,15.0,1
16,1,3,2,3,0,4,5,3,4,1,3,3,14.0,13.0,1
15,1,0,1,1,0,5,2,2,1,5,4,2,14.0,11.0,1
18,1,2,2,1,0,4,3,4,1,1,4,0,12.0,9.0,0
21,0,3,1,2,0,4,3,4,2,2,5,16,10.0,7.0,0
15,1,4,1,2,0,4,2,4,1,3,5,12,7.0,5.0,0
18,3,1,2,3,0,4,2,3,1,3,4,13,13.0,12.0,1
16,1,3,1,4,3,1,4,2,1,1,5,3,2.0,1.0,0
15,2,1,2,2,2,4,4,3,1,4,5,6,8.0,6.0,0
21,4,3,2,1,0,5,3,5,1,1,1,15,11.0,10.0,1
21,0,1,1,3,0,4,2,3,1,2,5,4,11.0,7.0,0
20,4,2,1,2,0,5,4,3,1,1,1,2,13.0,10.0,1
19,1,3,1,3,1,4,4,3,1,1,5,2,10.0,6.0,0
17,1,1,1,2,0,3,3,3,1,2,3,5,12.0,10.0,0
18,3,1,4,2,0,5,4,5,2,2,2,6,8.0,4.0,0
20,3,3,1,1,1,2,3,4,1,1,3,6,6.0,6.0,0
17,4,3,1,2,0,4,3,4,1,1,4,3,16.0,12.0,1
17,3,2,1,2,0,3,5,3,2,2,3,2,15.0,10.0,0
15,4,3,1,2,0,1,3,4,1,3,1,28,9.0,7.0,0
17,1,2,2,1,0,4,3,2,1,4,4,10,8.0,9.0,0
19,1,1,1,2,0,4,4,4,1,1,5,1,17.0,16.0,1
21,3,1,2,3,0,4,4,3,1,1,3,0,11.0,6.0,0
20,4,1,1,1,0,4,2,3,1,1,2,5,17.0,12.0,1
17,4,4,3,1,0,2,2,4,2,1,3,12,16.0,13.0,1
15,2,2,1,1,1,3,1,5,1,3,1,1,10.0,12.0,1
19,2,2,1,2,0,4,4,2,1,2,5,4,11.0,8.0,0
16,3,2,3,2,0,4,3,4,1,1,5,4,13.0,10.0,1
21,2,4,1,2,0,4,2,3,1,1,4,3,16.0,16.0,1
21,4,1,3,1,2,4,5,3,1,1,3,2,12.0,10.0,0
20,4,2,2,2,0,5,3,1,1,3,5,1,13.0,13.0,1
21,2,2,1,2,0,4,3,3,1,5,4,20,11.0,8.0,0
17,3,2,1,2,1,4,3,3,1,1,5,5,11.0,9.0,0
15,3,0,2,4,1,4,4,2,1,1,4,5,15.0,15.0,1
21,1,4,1,1,0,4,2,3,1,4,5,10,10.0,8.0,0
21,4,4,1,2,1,4,3,5,2,4,4,1,13.0,13.0,1
16,2,2,1,2,0,5,4,2,1,2,3,1,13.0,12.0,1
16,4,3,1,2,0,4,3,4,1,1,5,2,15.0,11.0,0
18,2,4,1,2,0,5,3,3,1,1,4,2,13.0,11.0,1
19,4,3,2,2,0,5,3,4,2,2,4,4,13.0,13.0,0
17,2,1,4,4,0,5,1,3,1,1,3,0,16.0,15.0,1
21,0,2,3,1,0,5,2,2,1,1,4,4,5.0,4.0,0
21,4,2,2,1,0,4,3,2,2,2,4,3,14.0,9.0,0
15,1,2,1,2,0,4,3,2,2,1,2,4,9.0,5.0,0
18,2,3,2,2,1,4,1,2,1,3,1,4,11.0,7.0,0
19,4,4,1,2,0,4,4,4,1,1,4,7,18.0,15.0,1
18,4,4,1,1,0,4,5,5,2,1,5,5,11.0,9.0,0
20,2,2,1,1,0,4,4,4,5,2,4,3,15.0,11.0,1
19,3,1,1,3,1,4,4,4,3,1,3,1,10.0,10.0,0
21,2,4,2,1,0,4,3,2,1,5,5,20,12.0,8.0,0
21,1,3,2,2,2,3,5,3,1,2,1,2,7.0,4.0,0
19,2,1,1,1,0,4,2,3,1,1,3,2,11.0,9.0,0
21,3,4,1,2,0,3,5,2,2,3,2,4,14.0,13.0,1
17,3,4,4,1,0,5,5,3,1,1,2,2,14.0,15.0,0
19,3,2,1,2,0,4,4,3,1,4,2,5,14.0,13.0,1
18,3,2,1,1,0,3,5,3,2,1,3,5,9.0,10.0,0
19,1,2,1,3,2,2,3,3,1,2,1,0,7.0,4.0,0
21,2,1,2,1,0,4,3,4,2,1,3,0,14.0,15.0,1
17,1,1,2,2,0,4,3,4,1,2,4,4,9.0,5.0,0
17,2,3,1,3,1,4,3,3,1,3,4,1,9.0,7.0,0
20,2,0,1,2,0,3,2,5,1,3,3,5,12.0,11.0,1
18,4,1,2,2,1,4,4,5,2,1,5,9,13.0,9.0,0
16,2,2,2,2,0,4,5,3,1,1,2,31,10.0,7.0,0
16,1,2,1,2,0,4,2,3,1,3,4,0,15.0,11.0,0
19,1,4,3,2,0,4,4,3,4,4,1,9,10.0,8.0,0
20,3,1,1,4,0,4,5,5,1,1,1,18,12.0,12.0,1
15,3,1,1,2,2,3,5,5,1,2,4,4,9.0,8.0,0
19,1,3,3,2,0,5,5,2,1,1,4,1,14.0,11.0,1
20,1,2,1,2,0,4,3,3,1,4,5,7,11.0,5.0,0
18,3,1,1,2,0,4,5,3,1,1,4,4,14.0,13.0,1
18,1,2,1,1,0,3,4,3,1,1,5,3,12.0,11.0,1
18,4,1,1,2,1,4,2,2,1,3,1,10,9.0,5.0,0
18,3,1,4,4,0,2,3,5,1,1,1,3,13.0,11.0,1
18,1,2,1,1,0,4,4,4,1,2,1,0,12.0,10.0,1
20,1,2,2,2,3,5,3,4,1,2,2,0,10.0,10.0,0
20,4,4,1,1,0,4,4,5,1,1,4,11,12.0,9.0,1
17,2,2,1,2,2,2,4,4,1,1,4,2,8.0,5.0,0
16,2,2,1,1,0,2,2,3,1,2,1,0,6.0,4.0,0
21,4,2,2,2,0,4,3,4,1,1,5,5,18.0,17.0,1
18,4,0,1,3,0,3,4,2,1,2,5,3,14.0,13.0,0
15,4,3,2,2,0,2,3,4,2,3,3,0,8.0,7.0,0
21,3,1,1,2,3,5,1,2,1,3,1,12,6.0,7.0,0
20,2,4,3,3,0,4,1,4,3,1,2,3,13.0,7.0,0
15,1,1,1,4,0,4,3,2,4,1,2,4,12.0,11.0,1
15,3,2,2,1,0,5,5,2,1,1,2,9,15.0,11.0,1
15,2,1,2,2,0,3,3,2,1,1,4,0,16.0,16.0,1
17,2,4,2,1,0,5,4,1,1,2,3,8,11.0,8.0,0
20,4,2,2,4,3,4,3,4,2,3,3,4,5.0,3.0,0
15,1,2,2,4,0,5,3,4,1,1,5,8,13.0,12.0,1
18,2,1,1,2,0,4,4,3,1,1,5,0,10.0,9.0,0
19,0,3,1,3,0,5,4,2,1,1,5,0,8.0,6.0,0
15,2,1,1,2,0,5,2,2,2,3,2,5,14.0,12.0,1
17,1,4,3,2,0,4,3,1,2,1,3,19,7.0,7.0,0
21,1,1,1,1,0,5,1,2,1,2,4,5,11.0,10.0,0
20,1,1,2,3,1,4,3,5,1,1,1,7,13.0,10.0,0
17,3,0,1,1,0,4,4,2,1,4,1,27,15.0,14.0,1
15,3,2,1,3,0,4,2,3,1,4,5,12,11.0,11.0,1
20,2,2,1,3,0,4,3,2,2,1,4,6,18.0,13.0,1
19,4,1,2,2,1,3,3,2,1,1,3,5,14.0,11.0,0
15,2,3,1,1,0,4,5,3,1,2,4,3,13.0,11.0,0
17,1,2,1,2,0,4,5,4,1,1,3,11,10.0,7.0,0
16,4,2,1,2,0,5,1,2,2,3,1,36,17.0,12.0,0
18,1,2,1,2,0,5,4,2,2,3,3,9,13.0,13.0,1
21,4,2,1,1,0,4,3,3,1,3,2,2,8.0,3.0,0
17,0,2,1,4,0,4,3,2,2,3,1,3,14.0,11.0,1
20,4,1,2,2,0,4,4,2,1,1,5,29,13.0,12.0,1
15,0,1,1,2,0,3,5,5,1,1,4,0,11.0,10.0,1
18,4,4,1,2,2,2,5,4,1,3,5,2,6.0,5.0,0
15,2,4,1,2,1,4,3,3,1,1,3,10,9.0,6.0,0
20,4,2,1,2,0,4,3,3,1,3,3,5,15.0,13.0,1
15,1,1,1,2,0,5,4,3,3,1,3,31,12.0,9.0,0
16,2,2,1,4,0,4,3,3,1,1,1,6,16.0,14.0,1
18,4,2,1,2,0,4,3,4,1,5,2,0,13.0,11.0,1
18,2,0,1,4,0,4,3,4,1,1,5,0,15.0,13.0,1
20,3,1,2,3,0,3,4,2,1,5,5,0,15.0,12.0,1
21,3,3,2,1,0,4,3,3,3,5,4,9,12.0,13.0,1
16,2,3,2,4,1,4,2,3,1,3,4,0,12.0,11.0,1
17,3,0,1,1,0,4,5,5,1,3,5,1,11.0,9.0,0
15,2,1,1,3,0,4,2,4,2,2,1,4,13.0,11.0,0
19,4,1,1,2,1,5,3,3,1,4,3,5,15.0,12.0,1
15,0,3,1,3,0,5,3,2,1,1,3,13,11.0,9.0,0
15,1,0,4,3,0,4,1,4,1,2,5,4,10.0,12.0,0
17,4,1,1,3,0,4,1,2,1,2,5,7,13.0,10.0,0
15,4,3,1,3,0,4,2,3,5,2,3,5,15.0,13.0,1
16,2,1,1,2,1,3,4,2,2,2,5,2,7.0,5.0,0
16,3,3,2,1,0,4,3,4,1,1,5,6,14.0,10.0,0
18,1,1,1,2,0,2,5,2,2,2,3,1,12.0,11.0,1
20,1,1,1,1,1,4,3,3,1,4,3,26,8.0,7.0,0
21,2,1,1,2,1,4,3,5,1,1,3,4,14.0,13.0,1
19,2,3,1,2,1,3,3,2,1,4,5,8,12.0,11.0,1
15,2,4,1,4,0,5,3,3,1,3,2,6,12.0,12.0,1
15,1,3,1,2,0,5,4,3,1,3,5,21,8.0,5.0,0
17,4,2,1,3,3,4,3,1,1,2,3,0,13.0,12.0,1
20,4,3,1,1,1,4,3,4,3,3,5,5,13.0,12.0,1
16,3,1,1,3,0,5,4,2,1,1,3,9,12.0,9.0,0
19,2,1,1,4,0,3,5,3,1,3,4,17,10.0,8.0,0
18,2,4,1,2,0,5,4,3,1,1,5,2,11.0,7.0,0
16,4,0,2,2,2,3,3,4,1,4,5,8,8.0,8.0,0
20,3,1,2,3,0,5,4,4,1,5,5,2,16.0,15.0,1
21,1,1,1,1,0,4,3,3,1,1,1,8,13.0,13.0,1
18,4,0,1,2,0,5,3,1,2,1,5,0,12.0,10.0,1
21,4,1,1,2,0,5,3,4,1,3,2,17,19.0,17.0,1
17,4,2,1,1,1,3,3,3,1,1,3,0,13.0,13.0,1
17,3,2,2,2,0,4,2,4,1,4,4,2,14.0,11.0,0
15,3,4,1,1,1,5,3,4,1,1,3,4,10.0,7.0,0
21,2,3,3,1,3,4,4,4,1,1,4,13,9.0,7.0,0
20,4,1,1,1,0,5,3,3,2,5,5,19,16.0,13.0,1
19,4,1,1,4,0,4,2,3,1,3,2,7,16.0,12.0,0
18,0,2,2,2,0,4,2,4,1,3,5,5,9.0,7.0,0
16,0,2,2,4,1,4,5,3,1,1,3,0,9.0,9.0,0
20,2,1,2,2,0,3,3,2,1,3,2,7,9.0,8.0,0
20,4,2,2,2,0,5,3,5,1,2,2,1,11.0,10.0,0
17,4,2,1,2,1,4,4,5,2,2,5,9,9.0,7.0,0
21,1,2,2,2,0,4,4,3,1,3,5,2,10.0,8.0,0
15,2,2,1,1,2,4,3,2,2,2,5,8,6.0,6.0,0
15,2,1,2,2,0,4,4,3,1,2,5,6,18.0,15.0,1
18,4,4,1,1,0,5,4,4,2,1,2,7,15.0,14.0,1
17,4,3,2,2,0,5,4,5,1,3,3,0,15.0,15.0,1
20,4,1,1,2,1,4,2,2,1,1,5,2,14.0,11.0,1
19,2,4,1,1,0,5,4,2,1,3,4,3,11.0,11.0,1
17,2,2,1,1,1,5,3,5,3,1,3,3,9.0,6.0,0
18,1,4,2,3,2,4,3,3,1,2,3,3,9.0,11.0,1
18,1,3,1,2,0,5,3,3,1,3,4,8,12.0,9.0,0
17,4,2,1,1,3,3,1,5,1,1,4,1,8.0,8.0,0
18,4,0,1,4,0,3,2,2,2,1,2,4,18.0,14.0,1
17,4,1,1,1,0,5,4,4,1,1,4,3,16.0,13.0,0
16,4,2,2,2,0,4,1,2,2,2,4,2,11.0,12.0,1
17,2,2,1,4,1,5,3,3,1,3,4,49,12.0,9.0,0
21,3,1,4,1,0,5,3,4,1,1,2,2,12.0,14.0,1
17,4,1,1,1,0,2,2,3,1,3,5,2,11.0,9.0,1
18,4,3,1,1,0,5,5,5,4,1,1,0,15.0,14.0,1
21,1,4,2,2,0,4,3,3,1,2,3,5,13.0,12.0,1
18,2,2,2,1,0,4,3,3,3,4,5,15,10.0,9.0,0
15,1,1,1,2,1,4,3,2,1,1,4,5,8.0,5.0,0
15,4,1,1,1,1,5,3,3,1,2,3,0,14.0,11.0,1
21,3,0,2,2,0,1,1,3,1,1,5,0,12.0,12.0,1
16,1,4,1,4,3,4,4,2,1,1,4,5,7.0,5.0,0
15,3,1,4,3,0,4,5,3,2,1,5,3,16.0,14.0,1
17,3,2,4,2,3,4,3,3,3,1,5,0,13.0,9.0,0
18,2,1,2,2,0,4,4,4,3,2,4,5,13.0,10.0,1
15,1,2,1,2,0,3,4,4,2,2,4,1,15.0,14.0,1
15,3,3,2,2,0,4,4,4,1,2,2,0,12.0,8.0,0
16,2,3,1,2,1,4,3,1,1,1,3,24,14.0,13.0,1
21,3,1,1,1,0,5,3,2,4,1,3,0,13.0,11.0,1
21,2,0,1,3,0,4,3,4,1,3,4,8,13.0,11.0,0
20,4,1,1,2,0,3,4,3,2,5,4,7,17.0,14.0,1
16,2,4,2,1,0,5,4,1,2,1,3,0,12.0,9.0,1
17,2,4,2,2,0,1,2,4,1,4,1,0,16.0,13.0,1
21,4,2,2,2,0,5,3,4,5,2,4,3,14.0,13.0,1
18,2,2,1,3,1,4,5,3,1,2,3,3,10.0,8.0,0
16,1,3,1,2,0,5,4,2,1,2,5,1,16.0,16.0,1
15,0,1,1,3,0,4,5,4,1,1,1,2,11.0,10.0,0
18,3,4,4,1,0,1,4,3,1,1,4,10,14.0,11.0,0
18,3,2,1,2,1,4,3,4,1,2,5,6,15.0,14.0,1
15,3,2,2,2,1,5,3,4,1,1,2,2,9.0,9.0,0
16,1,2,1,1,0,4,4,4,2,4,4,4,14.0,9.0,0
15,1,0,1,2,0,3,2,3,3,2,1,1,15.0,11.0,1
20,0,1,2,3,0,5,3,2,1,1,4,26,15.0,13.0,1
18,2,3,1,1,0,5,4,4,1,3,4,15,8.0,4.0,0
19,2,1,2,2,1,4,2,4,3,1,3,6,12.0,13.0,1
19,2,2,3,1,0,5,4,4,1,2,4,3,9.0,9.0,0
17,2,1,1,1,0,5,3,2,1,3,5,10,13.0,11.0,1
21,4,2,1,1,0,4,5,2,1,4,2,16,13.0,11.0,1
15,2,1,1,4,1,3,1,5,1,3,1,1,14.0,11.0,1
15,2,2,3,3,0,4,3,4,1,3,5,12,14.0,9.0,0
17,3,3,1,4,0,3,4,5,4,3,4,4,11.0,7.0,0
17,2,1,1,2,0,4,3,4,1,4,5,4,7.0,9.0,0
17,3,2,1,1,1,4,4,3,1,1,4,16,11.0,12.0,1
18,4,2,2,2,0,2,4,4,1,1,5,0,16.0,13.0,1
20,4,3,1,2,0,4,2,5,1,1,3,6,14.0,13.0,0
15,1,4,2,3,0,3,3,3,1,1,5,2,15.0,14.0,1
18,4,3,3,1,0,5,3,4,2,3,5,6,17.0,15.0,1
17,2,1,1,2,0,5,3,2,2,2,4,4,12.0,8.0,0
15,1,0,1,1,0,3,5,3,1,2,2,3,10.0,6.0,0
18,2,1,4,2,0,5,4,4,3,1,3,2,17.0,16.0,1
20,4,2,1,2,0,4,4,3,2,3,2,2,15.0,10.0,0
18,2,1,2,2,0,4,4,2,2,1,3,5,14.0,12.0,1
20,2,2,1,2,1,3,3,3,1,3,3,11,9.0,7.0,0
17,3,2,1,2,0,4,5,2,1,2,4,0,13.0,10.0,0
20,1,1,2,2,3,5,4,2,1,1,4,11,7.0,6.0,0
15,1,3,1,3,0,4,4,3,1,1,3,10,10.0,7.0,0
17,1,1,1,3,0,2,4,5,1,1,4,2,19.0,17.0,1
15,1,1,1,4,0,3,3,3,1,3,1,10,11.0,10.0,0
19,1,3,1,3,0,4,4,2,3,4,1,6,12.0,13.0,0
16,1,2,1,2,0,4,2,2,3,2,2,1,9.0,6.0,0
20,3,3,1,2,0,3,3,4,3,1,4,20,14.0,12.0,1
16,1,2,3,2,0,4,3,3,1,2,2,8,10.0,9.0,0
16,2,1,1,2,1,5,5,4,1,3,3,1,12.0,10.0,1
20,4,3,2,3,0,5,4,4,1,3,3,5,20.0,15.0,1
17,2,3,1,1,1,4,4,4,1,1,5,7,9.0,10.0,1
19,3,3,2,4,0,5,4,3,1,1,1,0,19.0,17.0,1
15,1,1,1,2,0,4,3,4,1,3,4,3,13.0,9.0,0
18,1,2,3,2,0,4,5,3,1,1,5,0,15.0,13.0,1
15,0,2,1,2,0,3,3,5,2,1,5,2,14.0,14.0,1
18,1,1,1,3,0,4,3,4,1,1,5,11,11.0,9.0,1
15,1,4,1,2,0,5,2,3,2,2,1,2,11.0,9.0,1
20,1,1,1,2,0,4,4,3,1,4,2,4,14.0,14.0,1
19,1,4,1,1,0,4,4,2,1,5,5,13,13.0,10.0,0
18,1,2,1,2,0,4,3,4,1,2,4,0,14.0,14.0,1
21,2,1,2,1,2,3,1,2,1,2,4,3,9.0,9.0,1
17,1,2,1,2,1,5,4,3,1,1,5,2,10.0,7.0,0
15,2,4,1,2,1,4,1,3,1,2,5,13,12.0,9.0,0
15,2,3,1,2,1,4,4,4,1,1,5,11,12.0,9.0,0
18,3,3,2,1,0,4,5,4,1,2,5,1,9.0,5.0,0
17,0,3,1,1,0,4,3,4,1,1,5,9,11.0,10.0,1
17,3,3,1,2,2,3,3,4,3,1,3,2,12.0,9.0,0
20,3,3,1,1,0,4,4,2,1,1,5,0,11.0,10.0,1
21,1,1,2,1,0,3,4,2,2,1,1,8,15.0,11.0,0
20,4,2,2,1,0,4,3,4,1,1,3,4,11.0,11.0,1
20,4,1,1,4,0,5,5,3,3,1,5,1,17.0,16.0,1
